ID,Severity,Area,Original finding,Status,Root-cause correction,Verification
T-15,High,SaaS Tenants,Activation failure refresh removes the detail/setup content temporarily,Fixed,Kept selected tenant data visible during reload and displayed local action progress/errors.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-16,Medium,SaaS Tenants,Raw readiness keys are humanized mechanically,Fixed,"Replaced mechanical key humanization with a curated readiness catalogue containing labels, explanations, and target stages.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-17,Medium,SaaS Tenants,One-time invitation token has no Copy button or acknowledgement flow,Fixed,"Added copy controls, expiry formatting, one-time-secret warning, and explicit acknowledgement for the initial invitation token.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-18,Medium,SaaS Tenants,Domain hostname has no client-side semantic validation,Fixed,"Added semantic hostname validation that rejects schemes, paths, ports, whitespace, and invalid labels before submission.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-19,Medium,SaaS Tenants,DNS host/value have no copy controls,Fixed,Added individual DNS host/value copy actions with copied feedback.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-20,Medium,SaaS Tenants,Verification/challenge dates are raw server strings,Fixed,Formatted verification and challenge timestamps through the shared business-time formatter and exposed expiry state.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-21,Medium,SaaS Tenants,Make-primary action has no confirmation,Fixed,Added confirmation and routing-impact explanation before changing the primary domain.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-22,Medium,SaaS Tenants,Lifecycle reason is mandatory but unexplained,Fixed,"Explained lifecycle reason auditing, enforced useful content, and repeated the reason in confirmation.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-23,Medium,SaaS Tenants,"Current subscription omits trial end, limits, enabled modules, and renewal/expiry urgency",Fixed,"Expanded the current subscription summary with revision, modules, limits, trial/end dates, and expiry context.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-24,Medium,SaaS Tenants,"Logo editing has no current preview, remove action, size/dimension guidance, or upload progress",Fixed,"Added current logo preview, client validation, size/type guidance, replacement preview, and explicit removal.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-25,Medium,SaaS Tenants,Active-currency lookup can lose an existing inactive currency selection,Fixed,Preserved the current inactive currency as a labelled historical option while requiring an active currency for changes.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-26,Medium,SaaS Tenants,No unsaved-change guard,Fixed,Added unsaved-change protection to tenant editing.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-27,Medium,SaaS Tenants,No close/clear-selection control and no sticky master-detail layout,Fixed,Implemented responsive URL-persisted master/detail state with explicit clear-selection behavior instead of a fragile single long form.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-28,Medium,SaaS Tenants,Parent/child action errors can mask each other,Fixed,"Separated parent load errors from domain, subscription, onboarding, and readiness action errors.",Source review + typecheck + ESLint + production build; targeted tests where applicable
P-01,Critical,Tenant Plans,"Editing a plan with blank effective date sends `effective_at: null`, but PATCH validation uses `sometimes,date` without `nullable`",Fixed,Omitted blank `effective_at` from sparse updates and created revisions only when commercial values actually change.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-02,Critical,Tenant Plans,The Active checkbox bypasses the explicit Deactivate workflow and can also reactivate an inactive plan,Fixed,"Removed `is_active` from the plan editor and replaced it with explicit activate/deactivate lifecycle services, routes, confirmations, and permissions.",Source review + typecheck + ESLint + production build; targeted tests where applicable
P-03,High,Tenant Plans,Immutable revision history is not accessible,Fixed,Added plan revision history API/resource/service and a revision-history UI.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-04,High,Tenant Plans,No revision diff/review step exists,Fixed,Added a pre-submit change review showing identity and immutable commercial revision differences.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-05,High,Tenant Plans,"Identity, commercial revision, and lifecycle state are mixed in one form",Fixed,"Separated plan identity editing, commercial revision creation, revision history, and lifecycle actions.",Source review + typecheck + ESLint + production build; targeted tests where applicable
P-06,High,Tenant Plans,Deactivation impact is invisible,Fixed,Added subscription counts and deactivation impact messaging before lifecycle changes.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-07,Medium,Tenant Plans,Create/revise form is permanently open,Fixed,Made create/revise editing an explicit editor workflow rather than a permanently open catalogue form.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-08,Medium,Tenant Plans,No dirty-state guard,Fixed,Added unsaved-change protection to plan editing.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-09,Medium,Tenant Plans,Module selection is an ungrouped flat checklist,Fixed,Grouped modules by business area with selected counts and clearer scanning.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-10,Medium,Tenant Plans,No module/limit change summary,Fixed,Added old/new module and limit summaries before revision creation.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-11,Medium,Tenant Plans,Raw price formatting is not user-friendly,Fixed,Formatted prices with currency context and readable billing intervals.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-12,Medium,Tenant Plans,`datetime-local` has no timezone explanation,Fixed,Explained timezone normalization and showed normalized effective timestamps.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-13,Medium,Tenant Plans,Existing inactive billing currency can disappear from the active currency list,Fixed,"Preserved inactive historical currency references, while blocking new revisions until an active currency is selected.",Source review + typecheck + ESLint + production build; targeted tests where applicable
P-14,Medium,Tenant Plans,Catalogue lacks active/inactive filter and revision/effective-date details,Fixed,"Added active/inactive filtering plus latest revision, effective date, assignment counts, and history access.",Source review + typecheck + ESLint + production build; targeted tests where applicable
P-15,Medium,Tenant Plans,Limit summary exposes transformed keys in one long sentence,Fixed,Replaced transformed technical limit keys with a labelled compact grid.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-16,Medium,Tenant Plans,Module validation errors have no local location,Fixed,Rendered module validation errors at the module fieldset.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-17,Medium,Tenant Plans,No success feedback after create/revise/deactivate,Fixed,Added success feedback including the resulting plan/revision action.,Source review + typecheck + ESLint + production build; targeted tests where applicable
P-18,Medium,Tenant Plans,Load errors can hide mutation errors,Fixed,"Separated catalogue, currency, editor, history, and lifecycle errors.",Source review + typecheck + ESLint + production build; targeted tests where applicable
D-01,Critical,Platform Defaults,Frontend permission model does not enforce the separate secret-management permission,Fixed,"Split platform configuration view, manage, and secret permissions; secret replacement controls require `platform.secrets.manage`.",Source review + typecheck + ESLint + production build; targeted tests where applicable
D-02,Critical,Platform Defaults,Duplicate override prevention uses only the current paginated page,Fixed,"Returned authoritative `existing_keys` from the server across the full scope, eliminating page-local duplicate detection.",Source review + typecheck + ESLint + production build; targeted tests where applicable
D-03,High,Platform Defaults,Add Override can open before definitions finish loading or after definitions fail,Fixed,Disabled Add Override until definitions are ready and surfaced definition-load failures in context.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-04,High,Platform Defaults,The page shows stored overrides but not the effective resolved value or inheritance source,Fixed,"Added effective value, inherited value, and source-scope metadata to each setting.",Source review + typecheck + ESLint + production build; targeted tests where applicable
D-05,High,Platform Defaults,Remove confirmation does not show the inherited value that will replace the override,Fixed,Previewed the exact inherited/default value and source that will become effective after removal.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-06,High,Platform Defaults,Version conflicts leave stale rows/forms in place,Fixed,Reloaded authoritative entries and closed/reconciled stale editors after version conflicts.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-07,High,Platform Defaults,Other table actions remain enabled while a mutation is running,Fixed,Locked all row and modal mutations while an operation is in progress.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-08,High,Platform Defaults,Sensitive replacement semantics are unclear,Fixed,Made protected settings explicitly replacement-only and never attempted to display current secrets.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-09,High,Platform Defaults,Sensitive definitions are not filtered or labelled by required permission,Fixed,Labelled sensitive definitions and disabled replacement unless the operator has the separate secret permission.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-10,Medium,Platform Defaults,Platform scope selector has one option,Fixed,Removed the meaningless one-option platform scope selector and displayed a Global defaults context.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-11,Medium,Platform Defaults,“Filter by area” exposes technical prefix syntax,Fixed,Replaced technical prefix-only filtering with debounced search and owner filtering.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-12,Medium,Platform Defaults,Prefix requests are not debounced,Fixed,Debounced requests and retained current results during refresh.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-13,Medium,Platform Defaults,"No owner, sensitivity, runtime-mutability, or source badges",Fixed,"Added owner, sensitivity, runtime-mutability, source, and configured-state badges.",Source review + typecheck + ESLint + production build; targeted tests where applicable
D-14,Medium,Platform Defaults,JSON values require raw JSON editing,Fixed,"Added typed editors, including line-list editing for string arrays; raw JSON is not the default workflow.",Source review + typecheck + ESLint + production build; targeted tests where applicable
D-15,Medium,Platform Defaults,Decimal parsing converts to JavaScript `number`,Fixed,Preserved decimal values as exact strings through frontend and backend validation.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-16,Medium,Platform Defaults,Modal Close button looks enabled while save is running but silently does nothing,Fixed,Made modal close visibly disabled while saving.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-17,Medium,Platform Defaults,Mobile DataTable renders action column as a normal detail row,Fixed,Provided explicit mobile summary/details/actions for configuration rows.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-18,Medium,Platform Defaults,No success feedback,Fixed,Added success feedback naming the changed setting and scope/effective result.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-19,Medium,Platform Defaults,No view-only platform permission,Fixed,Added a least-privilege `platform.configuration.view` path separate from manage permission.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-20,Medium,Platform Defaults,Filters/page/scope are not URL-persisted,Fixed,"Persisted search, owner, page, and applicable scope state in the URL.",Source review + typecheck + ESLint + production build; targeted tests where applicable
D-21,Medium,Platform Defaults,Loading clears the table,Fixed,Retained table data during refresh and used a local refresh indicator.,Source review + typecheck + ESLint + production build; targeted tests where applicable
D-22,Medium,Platform Defaults,Protected values lack rotation/status metadata,Fixed,Displayed configured/not-configured state and authoritative update timestamp while keeping protected values hidden; no unsupported rotation timestamp is invented.,Source review + typecheck + ESLint + production build; targeted tests where applicable
