ID,Severity,Area,Finding,Status,Root-cause correction,Owner module,Verification,Remaining gate
H-07,High,Infrastructure configuration,"Tenant-specific database, filesystem and mail profiles/runtime adapters are not implemented",Resolved by explicit architecture decision,Declared shared_schema as the only supported database strategy and reject unsupported strategies at boot. Arbitrary tenant-controlled Laravel/database/filesystem/mail configuration is intentionally not exposed. Dedicated infrastructure profiles remain a separate product capability only when a real provider requirement exists.,Tenant,TenantDatabaseStrategyTest added; boot validation scan.,Dedicated tenant infrastructure profiles require an explicit product and operations requirement.
H-08,High,Configuration definition security,Configuration definitions default to runtime-mutable and non-sensitive,Fixed,"Configuration definitions must explicitly declare owner, sensitive and runtime_mutable metadata; duplicate ownership and late registration fail explicitly.",Tenant,Definition registry and all registered definitions statically validated.,
H-09,High,Secret management,Generic configuration encryption is insufficient for infrastructure credential lifecycle,Partially fixed / bounded by supported architecture,Sensitive configuration remains encrypted/redacted and secret writes require a separate platform permission. Infrastructure credential rotation/testing is not implemented because dedicated tenant infrastructure profiles are not part of the supported shared-schema architecture.,Auth / Configuration / Tenant,Authorization tests updated; runtime secret-provider tests not applicable.,Infrastructure credential rotation/testing is not implemented because dedicated tenant infrastructure profiles are not part of the supported shared-schema architecture.
H-10,High,Platform authorization,Platform authorization is a single binary operator flag,Partially fixed / owner-module release gate,"Added granular platform permissions, platform-host isolation, MFA and recent-authentication step-up. Operator administration and platform audit browsing remain User/Audit module responsibilities.",Tenant / User / Auth / Audit,"Route permission matrix, MFA flow, TypeScript build; backend runtime pending.",Operator administration and platform audit browsing remain User/Audit module responsibilities.
H-11,High,Plans / subscriptions,Tenant plans are mutable live templates instead of versioned subscription terms,Fixed,"Replaced mutable live plan attachment with immutable plan revisions, historical subscriptions and a canonical current-subscription pointer.",Tenant,Migration/model/repository/service scan.,
H-12,High,Plan changes / readiness,Tenant plan reassignment and downgrade do not validate current usage or workflow compatibility,Fixed in Tenant; feature closeout remains owner-specific,Added final usage/limit/module readiness checks under tenant row lock before subscription replacement. Active tenants cannot silently lose modules. Feature-specific closeout rules must be contributed by their owning modules when implemented.,Tenant,Transaction/row-lock review; usage contributors registered.,
H-13,High,Domain revalidation / tenant availability,Revalidation can disable the primary domain while leaving the tenant active,Fixed,Primary-domain failure promotes a verified fallback atomically; without a valid fallback the tenant is suspended instead of remaining active and unreachable.,Tenant,Domain revalidation state-machine review.,
H-14,High,Domain database integrity,The one-primary-domain invariant has two columns without a DB constraint linking them,Fixed,Removed duplicated is_primary/primary_marker state and introduced tenant_primary_domains as the canonical one-row-per-tenant pointer with composite foreign keys.,Tenant,Composite FK and unique-pointer migration review.,
H-15,High,Domain concurrency,DNS verification-attempt updates bypass optimistic concurrency,Fixed,"Added atomic DNS revalidation claims, leases and row-version-aware updates to prevent competing workers from overwriting verification state.",Tenant,Claim/lease and version update review.,
H-16,High,File/storage atomicity,Document metadata changes can commit without durable file-cleanup intent,Fixed,"Document metadata mutation and durable cleanup intent are committed atomically. Cleanup workers use leases, retries and dead-letter state.",Tenant,Transaction and cleanup worker review.,
H-17,High,Module boundaries,Tenant internals are directly imported across many feature modules and foundation dependencies form cycles,Fixed for Tenant boundary; wider ERP cycles remain separate work,"Removed Tenant module dependency cycles. The current Tenant module has one-way dependencies on Core, Audit and ReferenceData only. Misplaced ReferenceData-to-Tenant seeding was moved into a Tenant-owned seeder.",Tenant plus each remaining feature-module owner,Static dependency graph: Tenant participates in 0 strongly connected components.,Misplaced ReferenceData-to-Tenant seeding was moved into a Tenant-owned seeder.
M-01,Medium,Outbox operations,Tenant outbox retries forever and has no dead-letter or retention lifecycle,Fixed,"Added bounded retries, dead-letter status, replay command, claim leases and published-event retention.",Tenant,Outbox status/command/scheduler review.,
M-02,Medium,Scheduler / multi-node safety,Scheduled tenant tasks use withoutOverlapping but not an explicit single-server contract,Fixed,Added onOneServer/withoutOverlapping scheduling and per-row claim/lease semantics for revalidation and workers.,Tenant,Scheduler and claim scan.,
M-03,Medium,Entitlement caching,Entitlement cache lifetime and invalidation are implicit,Fixed,Removed implicit process-memory entitlement caching; entitlements resolve from the canonical current subscription and immutable revision.,Tenant,No process cache remains in TenantEntitlementService.,
M-04,Medium,Configuration registration,Configuration definitions depend on provider boot order and mutable global config,Fixed,Replaced mutable global-config registration with an explicit validated registry that rejects duplicate ownership and freezes after boot registration.,Configuration / Core / contributing modules,No mutable configuration.definitions registration remains.,
M-05,Medium,Configuration semantics,app.name and app.timezone keys look like Laravel runtime overrides but are only domain configuration values,Fixed,Renamed ambiguous app.name/app.timezone domain keys to branding.display_name and localization.timezone.,Tenant,Stale-key scan; only platform Laravel fallbacks remain.,
M-06,Medium,Entitlement catalogue,The boundary between plan-controlled modules and always-on foundation modules is implicit,Fixed,Defined explicit always-on foundation and plan-controlled module catalogues and added non-overlap coverage.,Tenant,TenantPlanSchemaTest added.,
M-07,Medium,Database constraints,Lifecycle dates and plan pricing invariants rely mainly on application validation,Partially fixed,"Centralized writes, enums, foreign keys, immutable revisions, canonical pointers and service-level date/price validation. Additional portable database CHECK constraints were not introduced blindly because cross-driver behavior must be verified with the project runtime.",Tenant,Migration/service static review; runtime migration gate pending.,Additional portable database CHECK constraints were not introduced blindly because cross-driver behavior must be verified with the project runtime.
M-08,Medium,Verification / tests,Tenant test coverage is far below the isolation risk surface,Partially fixed / runtime gate,"Expanded Tenant tests from four to eight files and added host policy, database strategy, job context and plan schema coverage. Migrated database, concurrency, queue and browser adversarial suites still require a runnable Laravel/vendor environment.",Tenant / QA infrastructure,8 Tenant test files present; PHP test execution pending vendor.,"Migrated database, concurrency, queue and browser adversarial suites still require a runnable Laravel/vendor environment."
M-09,Medium,Model structure / readability,Tenant-owned models redundantly re-apply an ownership trait already owned by the base class,Fixed,Removed redundant immutable-tenant ownership trait usage from TenantOwnedModel subclasses.,Tenant,Trait usage scan returned 0 in Tenant subclasses.,
M-10,Medium,Naming / maintainability,Command wording and bootstrap seeder formatting reduce clarity in a security-sensitive module,Fixed,"Reformatted security-sensitive seeders, added explicit environment guards and corrected command wording.",Tenant,PHP lint and source review.,
